"","Il","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"24","Çorum-19",0.552631578947368,0.552631578947368,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.605263157894737,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"25","Denizli-20",0.49,0.49,0.436781609195402,0.436781609195402,0.436781609195402,0.436781609195402,0.436781609195402,0.789473684210526,0.789473684210526,0.789473684210526,0.789473684210526,0.789473684210526,0.631578947368421
"26","Diyarbakir-21",0.258064516129032,0.258064516129032,0.172413793103448,0.172413793103448,0.172413793103448,0.172413793103448,0.172413793103448,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.176470588235294
"27","Düzce-81",0.909090909090909,0.909090909090909,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,1,1,1,1,1,0.5
"28","Edirne-22",0.307692307692308,0.307692307692308,0.291666666666667,0.291666666666667,0.291666666666667,0.291666666666667,0.291666666666667,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375
"29","Elazig-23",0.538461538461538,0.538461538461538,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.6,0.6,0.6,0.6,0.6,0.6
"30","Erzincan-24",0.689655172413793,0.689655172413793,0.689655172413793,0.689655172413793,0.689655172413793,0.689655172413793,0.689655172413793,0.5,0.5,0.5,0.5,0.5,0.466666666666667
"31","Erzurum-25",0.717948717948718,0.717948717948718,0.705882352941177,0.705882352941177,0.705882352941177,0.705882352941177,0.705882352941177,0.7,0.7,0.7,0.7,0.7,0.6
"32","Eskisehir-26",0.548387096774194,0.548387096774194,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.428571428571429
"33","Gaziantep-27",0.740740740740741,0.740740740740741,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.636363636363636,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.666666666666667
"34","Giresun-28",0.606060606060606,0.606060606060606,0.696969696969697,0.696969696969697,0.696969696969697,0.696969696969697,0.696969696969697,0.791666666666667,0.791666666666667,0.791666666666667,0.791666666666667,0.791666666666667,0.541666666666667
"35","Gümüshane-29",0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.785714285714286,0.785714285714286,0.785714285714286,0.785714285714286,0.785714285714286,0.214285714285714
"36","Hakkari-30",0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.125,0.125,0.125,0.125,0.125,0.75
"37","Hatay-31",0.434210526315789,0.434210526315789,0.236842105263158,0.236842105263158,0.236842105263158,0.236842105263158,0.236842105263158,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.533333333333333
"38","Igdir-76",0.75,0.75,0.375,0.375,0.375,0.375,0.375,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143
"39","Isparta-32",0.68,0.68,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.5,0.5,0.5,0.5,0.5,0.636363636363636
"40","Istanbul-34",0.643835616438356,0.643835616438356,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.641025641025641,0.641025641025641,0.641025641025641,0.641025641025641,0.641025641025641,0.615384615384615
"41","Izmir-35",0.340909090909091,0.340909090909091,0.188679245283019,0.188679245283019,0.188679245283019,0.188679245283019,0.188679245283019,0.2,0.2,0.2,0.2,0.2,0.133333333333333
"42","Kahramanmaras-46",0.53125,0.53125,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.532258064516129,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.818181818181818
"43","Karabük-78",0.5,0.5,0.875,0.875,0.875,0.875,0.875,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.285714285714286
"44","Karaman-70",0.4375,0.4375,0.625,0.625,0.625,0.625,0.625,0.545454545454545,0.545454545454545,0.545454545454545,0.545454545454545,0.545454545454545,0.363636363636364
"45","Kars-36",0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556
"46","Kastamonu-37",0.523809523809524,0.523809523809524,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.7,0.7,0.7,0.7,0.7,0.5
